Title,Module Group,Heading,Module Completed Value,Module Expiry Days,Hide Add Achievement?,Unit Groups,Job Roles
C1 Introduction to Inspections ,4454,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector"
C2 Structures Types and Elements/Behavior if Structures,4454,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector"
C3 Inspection Process,4454,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector"
C4 Defects Description and Causes,Core Inspection Management ,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector"
MAS.2 Investigation and Testing,Inspection of Masonary Bridges,,0,0,No,,"Masonary Bridges, Senior Masonary Bridges"
C5 Repair Techniques,Current Role,,0,0,No,,
C5 General Aptitude,Core Inspection Management ,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector"
CPD,CPD,,0,0,No,,"Senior Bridge Inspector, Bridge Inspector, Masonary Bridges, Concrete Bridges, Metallic Bridges"
Core Inspection Management,Current Role,,0,0,No,,
MAS.1 Defects Description and Causes,Inspection of Masonary Bridges,,0,0,No,,"Masonary Bridges, Senior Masonary Bridges"
MAS.3 Repair Techniques,Inspection of Masonary Bridges,,0,0,No,,"Masonary Bridges, Senior Masonary Bridges"
CON.1 Defects Description and Causes,Inspection of Concrete Bridges,,0,0,No,,"Concrete Bridges, Senior Concrete Bridges "
 CON.2 Investigation and Testing,Inspection of Concrete Bridges,,0,0,No,,"Concrete Bridges, Senior Concrete Bridges "
CON.3 Repair Techniques,Inspection of Concrete Bridges,,0,0,No,,"Concrete Bridges, Senior Concrete Bridges "
MET.1 Defects Description and Causes,Inspection of Metallic Bridges ,,0,0,No,,"Metallic Bridges, Senior Metallic Bridges"
MET.2 Investigation and Testing,Inspection of Metallic Bridges ,,0,0,No,,"Metallic Bridges, Senior Metallic Bridges"
MET.3 Repair Techniques,Inspection of Metallic Bridges ,,0,0,No,,"Metallic Bridges, Senior Metallic Bridges"
BICS Simple Test ,BICS Test,,0,0,No,,Testing BICS
senior test,BICS Test,,0,0,No,,Senior Testing 
