title,legacyId,legacyParentId
 72 - 130 MASZEWO/RADZANEK,44419,46876
 Koksamrong Breeder Farm 2,44973,46926
 Koksamrong Breeder Farm 3,44974,46926
 Wantana Farm ltd,49444,44456
62-270 Klecko,49961,47016
64 - 200 WOLSZTYN/SWIETNO,44432,46876
64 - 700 CZARNKOW/BRZEZNO,44425,46876
64 - 700 CZARNKOW/HUTKA,44426,46876
64 - 706 KRUSZEWO/BRONISLAWKI,44424,46876
64 - 810 KACZORY,44447,46730
64 - 810 KACZORY,49649,46876
64 - 840 Budzyn,48868,46876
64 - 980 TRZCIANKA/KADLUBEK,44420,46876
64-200 Wolsztyn,45194,47016
64-233 Keblowo,49475,47016
72-130 Maszewo,49251,46876
77 - 430 KRAJENKA/SMIARDOWO&89 - 320 WYSOKA/KOSTRZYNEK,44422,46876
89 - 320 WYSOKA/KOSTRZYNEK,44423,46876
"89  Subcharoen Co.,Ltd (Theppitak Farm 3)",49983,44438
"89 Kasetphun Co.,Ltd (Theppitak Farm)",49982,44438
"89 Permpoon sub Co.,Ltd (Theppitak Farm 4)",49984,44438
A.C.S. Farm,44536,46877
Acarekaikhaw Farm,44478,44456
ADROS Group Sp. Z o.o.,45195,
ADROS Group: Farms,45196,45195
ADROS Group: Hatchery,45197,45195
Anan Farm,49441,44456
Anchana Farm,50102,46925
Ang Krapong Farm,44452,46908
ANG WEIN Farm,44546,46877
ANGMAHA Farm,44547,46877
Annyalla Chicks (Ireland) Ltd,44667,
Anurak Farm,44854,44438
Arnon Farm,49993,44438
"Arunkarn Co.,Ltd",49595,44438
Aueychai 1 Farm,44515,46877
Aueychai 2 Farm,44516,46877
B Foods Product International Company Ltd,44582,
B Foods: Breeder Farms,46926,44582
B Foods: Grower Farms,46925,44582
B Foods: Hatcheries,46927,44582
"B.B.Farm Co.,Ltd",46889,44438
"B.N.Poultry Co.,Ltd.",49978,44438
BAAN BUENG Farm,44548,46877
BAAN PAEW Farm,44549,46877
Baibue Farm,45039,
Banchongcharoen farm,45133,44456
Bangkok,45132,46925
Bangkok Farm,44956,47006
Bangkok Ranch Public Company Limited,45094,
Bangkok Ranch: Breeder Farms,47015,45094
Bangkok Ranch: Grower Farms,47013,45094
Bangkok Ranch: Hatcheries,47014,45094
Bangpra Hatchery,44724,46877
Bangpra Hatchery,49029,46878
Banlangkhao Farm,49401,44456
BANMUANG,44566,46877
Bansuan Farm,44463,44456
BANTHAT,44567,46877
Bo Phloi Hatchery,49950,47007
Boon Tharnthong (2555) Farm,44545,46877
Boon Tharnthong Farm,44519,46877
"Boontaweesub Farm Co.,Ltd.",44903,44438
"Boonwana Farm Co.,Ltd",49977,44438
Bothong Farm,44872,44861
Breeder,45054,
Breeder 1,44866,44438
Breeder 15,49823,44438
