Type,LegacyUserID,LegacyUnitID,ResultTitle,SelfAssessmentDate,StartDate,EndDate,ExpiryDate,Where,Points,EndorsedDate,EndorsedStatus,Comments,Files
Achievements,98744,41337,Manual Handling Short Course,,04/04/1971,17/02/1986,,here,,,,,
Achievements,94266,41336,Hygiene & Biosecurity Short Course,,16/02/2015,16/02/2015,16/02/2020,WFT Academy,,,,,
Achievements,94266,41338,Poultry Welfare Short Course,,26/07/2013,26/07/2013,26/07/2018,WFT Academy,,,,,
Achievements,110404,41338,Poultry Welfare Short Course,,03/09/2018,03/09/2018,03/09/2023,GT Training,,,,,
Achievements,94272,41338,Poultry Welfare Short Course,,16/10/2018,16/10/2018,16/10/2023,GT Training,,,,,
Achievements,103311,41336,Hygiene & Biosecurity Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,103311,41338,Poultry Welfare Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,99709,41336,Hygiene & Biosecurity Short Course,,05/07/2016,05/07/2016,05/07/2021,WFT Academy,,,,,
Achievements,99709,41338,Poultry Welfare Short Course,,05/07/2016,05/07/2016,05/07/2021,WFT Academy,,,,,
Achievements,100049,41336,Hygiene & Biosecurity Short Course,,22/07/2016,22/07/2016,22/07/2021,WFT Academy,,,,,
Achievements,100049,41338,Poultry Welfare Short Course,,22/07/2016,22/07/2016,22/07/2021,WFT academy,,,,,
Achievements,103309,41336,Hygiene & Biosecurity Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,103309,41338,Poultry Welfare Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,103310,41336,Hygiene & Biosecurity Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,103310,41338,Poultry Welfare Short Course,,08/03/2017,08/03/2017,08/03/2022,WFT Academy,,,,,
Achievements,94279,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,94280,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,94281,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,103315,41336,Hygiene & Biosecurity Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103315,41338,Poultry Welfare Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,94282,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,94283,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,94284,41338,Poultry Welfare Short Course,,07/09/2018,07/09/2018,07/09/2023,GT Training,,,,,
Achievements,94285,41338,Poultry Welfare Short Course,,16/10/2018,16/10/2018,16/10/2023,GT Training,,,,,
Achievements,103314,41336,Hygiene & Biosecurity Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103314,41338,Poultry Welfare Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103316,41336,Hygiene & Biosecurity Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103316,41338,Poultry Welfare Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103317,41336,Hygiene & Biosecurity Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,103317,41338,Poultry Welfare Short Course,,06/03/2017,06/03/2017,06/03/2022,WFT Academy,,,,,
Achievements,101598,41336,Hygiene & Biosecurity Short Course,,07/10/2016,07/10/2016,07/10/2021,WFT Academy,,,,,
Achievements,101598,41338,Poultry Welfare Short Course,,07/10/2016,07/10/2016,07/10/2021,WFT Academy,,,,,
Achievements,98744,41337,Manual Handling Short Course,,04/04/1971,17/02/1986,,here,,,,,
Achievements,94332,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
