title,Id
Health & Safety Short Course,41335
Hygiene & Biosecurity Short Course,41336
Manual Handling Short Course,41337
Poultry Welfare Short Course,41338
Level 2 Diploma in Work-based Agriculture or Equivalent,41339
Environmental Awareness/IPPC Short Course,41340
First Aid Qualification,41341
Level 3 Diploma in Work-based Agriculture or Equivalent,41342
Formal Written Induction,41334
Advanced Poultry Health & Welfare Short Course,41343
Advanced Biosecurity/Food Safety Short Course,41344
Supervisory Health & Safety Short Course,41345
ILM Level 3 Award in First Line Management or equivalent,41346
